State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,14800,2167,500,12133,18/04/2020 19:24:05,TT,448,127,14,
Maharashtra,3320,331,201,2788,17/04/2020 23:45:05,MH,0,0,0,
Delhi,1707,72,42,1593,17/04/2020 21:52:06,DL,0,0,0,
Tamil Nadu,1372,365,15,992,18/04/2020 18:35:10,TN,49,82,0,
Rajasthan,1282,183,19,1080,18/04/2020 15:16:54,RJ,53,0,2,
Madhya Pradesh,1355,70,69,1216,18/04/2020 12:14:06,MP,45,0,0,
Gujarat,1272,88,48,1136,18/04/2020 11:36:24,GJ,173,2,7,
Uttar Pradesh,849,82,14,753,17/04/2020 20:37:09,UP,0,0,0,
Telangana,766,186,18,562,18/04/2020 19:24:06,TG,0,0,0,
Andhra Pradesh,603,42,16,545,18/04/2020 19:15:05,AP,31,7,2,
Kerala,399,257,2,140,18/04/2020 18:07:06,KL,4,2,0,
Karnataka,384,104,14,266,18/04/2020 17:56:06,KA,25,16,1,
Jammu and Kashmir,341,42,5,294,18/04/2020 18:45:06,JK,13,0,0,
West Bengal,287,55,10,222,18/04/2020 09:24:06,WB,32,4,0,"As WB state bulletin only reports the number of active cases, the numbers for WB are currently updated according to https://www.mohfw.gov.in"
Haryana,227,88,3,136,18/04/2020 15:26:16,HR,4,2,0,"14 recovered Italian tourists included in tally, 1 death in Ambala unaccounted."
Punjab,219,31,16,172,18/04/2020 18:35:12,PB,8,1,2,
Bihar,86,42,1,43,18/04/2020 19:24:06,BR,1,5,0,
Odisha,61,24,1,36,18/04/2020 17:56:06,OR,1,3,0,
Uttarakhand,42,9,0,33,18/04/2020 15:26:17,UT,2,0,0,
Chhattisgarh,36,24,0,12,17/04/2020 19:15:07,CT,0,0,0,
Himachal Pradesh,39,16,2,21,18/04/2020 19:15:06,HP,1,0,0,Death of Tibetan refugee included
Assam,34,12,1,21,18/04/2020 17:16:14,AS,0,3,0,
Jharkhand,32,0,2,30,17/04/2020 21:09:07,JH,0,0,0,
Chandigarh,23,9,0,14,18/04/2020 17:25:07,CH,2,0,0,
Ladakh,18,14,0,4,16/04/2020 15:13:07,LA,0,0,0,
Andaman and Nicobar Islands,14,11,0,3,18/04/2020 17:16:15,AN,2,0,0,
Meghalaya,11,0,1,10,18/04/2020 12:38:07,ML,2,0,0,
Goa,7,6,0,1,15/04/2020 20:10:36,GA,0,0,0,
Puducherry,7,1,0,6,10/04/2020 17:50:26,PY,0,0,0,
Manipur,2,1,0,1,06/04/2020 22:35:54,MN,0,0,0,
Tripura,2,1,0,1,10/04/2020 20:00:27,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,1,0,0,1,12/04/2020 23:35:29,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
