date,TT,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UN,UP,UT,WB,
12-Apr-20,758,0,15,0,1,0,2,6,0,85,0,0,48,0,16,2,21,17,2,0,0,221,0,0,33,0,0,0,12,0,104,0,28,106,0,0,31,0,8,
13-Apr-20,1243,0,19,0,2,2,0,0,0,356,0,0,56,0,1,5,25,15,3,2,0,352,1,0,52,0,0,1,6,0,93,0,61,98,0,0,75,0,18,
14-Apr-20,1031,0,45,0,1,0,0,2,0,51,0,0,78,1,2,3,8,13,8,0,0,346,0,0,127,0,0,5,8,0,108,0,52,31,0,0,102,2,38,
15-Apr-20,886,0,41,0,0,6,0,0,0,17,0,0,116,2,6,1,22,19,1,1,0,236,6,0,197,0,0,0,2,0,71,0,6,38,0,0,75,0,23,
16-Apr-20,1061,0,9,0,2,11,0,3,0,62,0,0,163,0,11,1,14,36,7,0,0,285,2,0,226,0,0,0,11,0,55,0,50,25,0,0,70,0,18,
17-Apr-20,922,1,38,0,0,2,0,0,0,67,0,0,170,3,8,3,14,44,1,0,0,120,0,0,146,0,0,0,14,0,98,0,66,56,0,0,44,3,24,
18-Apr-20,1371,2,31,0,0,1,2,0,0,186,0,0,277,1,9,1,13,25,4,0,0,327,2,0,92,0,0,1,23,0,122,0,43,49,0,0,126,2,32,
19-Apr-20,1580,1,44,0,0,10,3,0,0,110,0,0,367,0,18,8,13,6,2,0,0,552,0,0,5,0,0,0,10,0,127,0,49,105,0,0,125,2,23,
20-Apr-20,1239,1,75,0,0,17,0,0,0,78,0,0,196,0,1,5,14,18,6,0,0,466,0,0,78,0,0,13,1,0,98,0,14,43,0,0,84,2,29,
21-Apr-20,1537,1,35,0,0,13,1,0,0,75,0,0,239,0,4,0,12,10,19,0,0,552,1,0,67,0,0,5,6,0,159,0,56,76,0,0,153,0,53,
22-Apr-20,1292,1,56,0,0,17,0,0,0,92,0,0,229,0,9,0,27,9,11,0,0,431,0,0,35,0,0,4,27,0,153,0,15,33,0,0,112,0,31,
23-Apr-20,1667,4,80,0,1,27,0,0,0,128,0,0,217,1,6,7,27,18,10,0,0,778,0,0,100,0,0,6,5,0,76,0,27,54,0,0,61,1,33,
24-Apr-20,1408,7,62,0,0,53,0,0,0,138,0,0,191,0,5,6,20,29,3,0,0,390,0,0,159,0,0,5,15,0,70,0,13,72,0,0,111,1,58,
25-Apr-20,1835,4,61,0,0,28,1,1,0,111,0,0,256,0,12,8,40,26,7,2,0,811,0,0,99,0,0,6,10,1,49,0,7,66,0,0,172,0,57,
26-Apr-20,1607,0,81,0,0,26,8,0,0,293,0,0,230,0,9,15,29,3,11,0,0,440,0,0,145,0,0,3,14,0,102,0,11,64,0,0,80,3,40,
27-Apr-20,1568,0,80,0,0,69,9,0,0,190,0,0,247,0,5,21,23,9,13,0,0,522,0,0,75,0,0,15,8,0,77,0,2,52,0,0,113,0,38,
28-Apr-20,1902,0,82,0,2,20,11,1,0,206,0,0,226,0,7,2,19,11,4,2,0,728,0,0,222,0,0,0,12,0,102,0,6,121,0,0,67,3,48,
29-Apr-20,1705,0,73,0,0,37,12,0,0,125,0,0,308,0,3,2,16,12,10,0,0,597,0,0,173,0,0,7,33,0,76,0,7,104,0,0,81,1,28,
30-Apr-20,1801,0,71,0,5,22,6,2,0,76,0,0,313,0,28,3,33,30,2,0,0,583,0,0,65,0,0,18,105,0,144,0,22,161,0,0,77,2,33,
01-May-20,2396,0,60,0,0,41,14,3,0,223,0,0,326,0,18,3,25,24,0,0,0,1008,0,0,90,0,0,11,105,0,82,0,6,203,0,0,117,0,37,
02-May-20,2564,0,62,0,0,15,6,0,0,384,0,0,333,0,19,2,27,12,2,1,0,790,0,0,73,0,0,6,187,1,106,0,17,231,2,0,159,2,127,
03-May-20,2952,0,58,0,0,36,3,14,0,427,0,0,374,0,66,0,35,13,0,19,0,678,0,0,49,0,0,2,330,0,114,0,21,266,12,0,158,1,276,
04-May-20,3656,0,67,0,0,11,5,1,0,349,0,0,376,1,75,0,25,37,0,0,0,1567,0,0,105,0,0,7,130,0,175,0,3,527,13,0,121,0,61,
05-May-20,2971,0,67,0,2,7,17,1,0,206,1,0,441,1,31,10,15,22,3,0,0,984,0,0,107,0,0,8,219,0,97,0,11,508,13,0,114,1,85,
06-May-20,3602,0,60,0,1,7,5,0,0,428,0,0,380,1,46,2,34,20,0,0,0,1233,0,0,89,0,0,28,75,0,159,0,11,771,22,0,118,0,112,
07-May-20,3344,0,56,0,8,8,11,0,0,448,0,0,388,3,31,5,18,12,0,0,0,1216,0,0,114,0,0,14,118,0,110,0,15,580,24,0,73,0,92,
08-May-20,3339,0,54,0,6,29,11,0,0,338,0,0,390,4,22,22,30,48,1,0,0,1089,0,0,89,0,0,51,87,1,152,0,10,600,30,0,143,2,130,
09-May-20,3175,0,43,0,2,32,23,0,0,224,0,0,394,2,28,2,13,41,2,0,0,1165,1,0,116,0,0,82,31,0,129,0,31,526,17,0,159,4,108,
10-May-20,4311,0,50,0,1,96,4,0,0,381,0,0,398,6,28,1,25,54,7,0,0,1943,0,0,157,0,0,25,61,2,106,0,33,669,16,0,94,1,153,
11-May-20,3592,0,38,0,2,42,8,0,0,310,0,0,347,1,27,4,18,14,7,0,0,1230,0,0,171,0,0,38,54,0,174,0,79,798,0,0,106,0,124,
12-May-20,3562,0,71,0,0,130,6,0,0,406,0,0,362,8,50,11,55,63,5,0,0,1026,0,0,201,0,0,22,37,0,138,0,51,716,2,0,91,1,110,
13-May-20,3726,0,48,0,15,74,4,0,0,359,0,0,364,1,13,5,37,34,10,1,0,1495,0,0,187,0,0,101,10,1,202,0,41,509,1,0,94,3,117,
14-May-20,3991,0,68,0,7,46,0,1,0,472,0,8,324,6,25,26,12,28,26,0,0,1602,0,1,253,0,0,134,11,3,206,0,47,447,1,0,144,6,87,
15-May-20,3808,0,102,0,3,34,0,6,0,425,0,0,340,2,36,8,30,69,16,0,0,1576,0,0,169,0,0,65,-3,0,213,0,40,434,0,0,155,4,84,
16-May-20,4794,0,48,0,3,145,0,1,0,438,0,5,1057,2,33,6,108,36,11,0,0,1606,0,4,195,0,0,0,14,1,213,0,55,477,11,0,201,9,115,
17-May-20,5049,0,25,0,8,142,0,18,0,422,0,9,391,2,23,6,62,55,14,0,0,2347,0,0,187,0,0,91,18,0,242,0,42,639,-2,0,206,1,101,
18-May-20,4628,0,52,0,15,103,5,10,0,299,0,9,366,10,18,5,106,99,29,0,0,2005,0,0,259,0,0,48,16,0,305,0,41,536,0,0,141,4,147,
19-May-20,6154,0,57,0,42,96,3,5,0,500,0,8,395,2,36,20,28,149,12,0,0,2078,0,2,229,0,0,102,22,5,338,0,42,688,8,814,321,15,137,
20-May-20,5720,0,71,0,31,257,3,14,0,534,0,4,398,18,29,42,73,67,24,1,0,2161,1,16,270,0,0,74,3,1,170,0,27,743,0,282,249,15,142,
21-May-20,6023,0,45,0,22,211,16,14,0,571,0,2,371,42,37,13,59,143,24,0,0,2345,0,0,246,0,0,51,23,0,212,0,38,776,2,307,340,19,94,
22-May-20,6536,0,62,0,15,179,1,44,0,660,0,2,363,16,37,20,40,138,42,2,0,2940,0,1,189,0,0,86,1,3,267,0,62,786,0,217,220,8,135,
23-May-20,6663,0,47,0,121,228,6,42,0,591,1,1,396,17,64,27,80,216,62,3,0,2608,0,3,201,0,0,80,16,0,248,1,52,759,16,279,282,91,127,
24-May-20,7111,0,66,1,46,180,37,38,0,508,0,11,394,18,53,20,52,130,53,3,0,3041,0,3,294,0,0,67,15,15,286,0,41,765,3,439,251,73,208,
25-May-20,6414,0,106,0,156,163,4,40,0,635,0,1,405,20,29,35,47,93,49,1,0,2436,1,4,194,0,3,102,21,8,272,0,66,805,4,304,229,32,149,
26-May-20,5907,0,97,0,134,231,12,68,0,412,0,0,361,24,92,21,91,101,67,0,0,2091,5,3,165,0,1,79,25,0,236,0,112,646,34,328,227,51,193,
27-May-20,7246,0,134,0,101,68,1,4,0,792,0,1,376,26,76,7,162,135,40,1,0,2190,0,5,237,0,5,76,33,0,280,0,107,817,10,1043,267,69,183,
28-May-20,7254,0,128,1,97,149,10,34,0,1024,0,1,367,8,123,6,115,115,85,20,0,2598,1,11,192,0,9,67,19,4,251,0,117,827,2,319,179,31,344,
29-May-20,8138,0,85,0,177,174,0,17,0,1105,0,0,372,14,217,82,128,248,62,0,0,2682,6,4,192,0,7,63,39,4,298,0,169,874,10,341,275,216,277,
30-May-20,8364,0,131,1,159,206,0,32,0,1163,0,1,412,18,202,73,177,141,58,3,0,2940,0,1,246,0,11,96,36,0,252,0,74,938,17,370,256,33,317,
31-May-20,8789,0,110,0,123,242,4,51,0,1295,0,1,438,18,168,41,105,299,61,0,0,2487,0,11,198,0,7,129,30,13,214,0,199,1149,45,448,374,158,371,
01-Jun-20,7724,0,105,18,146,138,4,50,0,990,1,2,423,9,265,26,155,187,57,0,0,2358,1,12,194,0,0,156,38,9,269,0,94,1162,107,139,286,52,271,
