State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,35052,9260,1159,24629,01/05/2020 15:01:45,TT,186,201,5,
Maharashtra,10498,1773,459,8266,30/04/2020 21:32:46,MH,0,0,0,
Gujarat,4395,613,214,3568,30/04/2020 20:32:46,GJ,0,0,0,
Delhi,3515,1094,59,2362,30/04/2020 23:33:46,DL,0,0,0,
Madhya Pradesh,2625,482,137,2006,30/04/2020 20:52:46,MP,0,0,0,
Rajasthan,2642,983,61,1598,01/05/2020 15:01:45,RJ,58,90,3,
Tamil Nadu,2323,1258,27,1038,30/04/2020 18:22:46,TN,0,0,0,
Uttar Pradesh,2211,551,40,1620,30/04/2020 21:02:46,UP,0,0,0,
Andhra Pradesh,1463,403,33,1027,01/05/2020 13:11:46,AP,60,82,2,
Telangana,1038,442,28,568,30/04/2020 21:32:47,TG,0,0,0,
West Bengal,795,139,33,623,01/05/2020 09:01:46,WB,37,15,0,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
Jammu and Kashmir,614,216,8,390,30/04/2020 19:12:47,JK,0,0,0,
Karnataka,576,235,22,318,01/05/2020 13:52:46,KA,11,6,0,
Kerala,498,383,4,111,30/04/2020 17:11:46,KL,0,0,0,Mahe native who expired in Kannur included in Kerala's tally
Bihar,432,84,2,346,01/05/2020 14:02:46,BR,7,0,0,
Punjab,480,104,20,356,30/04/2020 19:44:01,PB,0,0,0,
Haryana,347,235,4,108,01/05/2020 13:21:47,HR,8,0,0,
Odisha,148,41,1,106,01/05/2020 15:01:46,OR,5,0,0,
Jharkhand,110,19,3,88,30/04/2020 23:33:48,JH,0,0,0,
Chandigarh,74,18,0,56,30/04/2020 17:32:46,CH,0,0,0,
Uttarakhand,57,36,0,21,01/05/2020 00:17:46,UT,0,0,0,
Himachal Pradesh,40,28,2,7,30/04/2020 22:01:47,HP,0,0,0,Death of Tibetan refugee included
Assam,43,29,1,13,01/05/2020 01:22:46,AS,0,0,0,Includes one case from Nagaland
Chhattisgarh,40,36,0,4,28/04/2020 23:41:48,CT,0,0,0,
Andaman and Nicobar Islands,33,16,0,17,30/04/2020 11:32:48,AN,0,0,0,
Ladakh,22,17,0,5,29/04/2020 21:12:47,LA,0,0,0,
Meghalaya,12,8,1,3,01/05/2020 12:22:46,ML,0,8,0,
Puducherry,8,5,0,3,27/04/2020 23:21:56,PY,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,2,2,0,0,23/04/2020 20:47:41,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
