State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,39311,10729,1319,27259,02/05/2020 22:22:45,TT,2049,708,88,
Maharashtra,12296,2000,521,9775,02/05/2020 20:32:45,MH,790,121,36,
Gujarat,5054,896,262,3896,02/05/2020 21:23:45,GJ,333,160,26,
Delhi,3738,1167,61,2510,01/05/2020 21:22:46,DL,0,0,0,
Madhya Pradesh,2788,622,151,2015,02/05/2020 22:22:45,MP,73,98,6,
Rajasthan,2772,1242,68,1462,02/05/2020 21:52:45,RJ,106,126,6,
Tamil Nadu,2757,1341,29,1387,02/05/2020 19:54:45,TN,231,29,1,
Uttar Pradesh,2487,698,43,1746,02/05/2020 21:22:46,UP,159,44,1,
Andhra Pradesh,1525,441,33,1051,02/05/2020 12:01:46,AP,62,38,0,
Telangana,1061,499,29,533,02/05/2020 21:52:46,TG,17,35,1,
West Bengal,795,139,48,608,02/05/2020 21:33:46,WB,0,0,7,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
Jammu and Kashmir,666,254,8,404,02/05/2020 17:42:46,JK,27,7,0,
Karnataka,601,271,25,304,02/05/2020 17:52:46,KA,12,20,3,
Kerala,500,400,4,96,02/05/2020 17:42:47,KL,2,8,0,Mahe native who expired in Kannur included in Kerala's tally
Bihar,481,98,4,379,02/05/2020 18:32:45,BR,15,0,1,
Punjab,772,112,20,640,02/05/2020 18:22:46,PB,187,4,0,
Haryana,376,242,4,130,02/05/2020 18:22:47,HR,19,1,0,
Odisha,157,56,1,100,02/05/2020 18:12:46,OR,3,1,0,
Jharkhand,115,21,3,91,02/05/2020 20:22:46,JH,2,0,0,
Chandigarh,94,19,0,75,02/05/2020 17:42:50,CH,6,1,0,
Uttarakhand,59,39,1,19,02/05/2020 19:12:46,UT,2,2,0,
Himachal Pradesh,40,33,2,2,02/05/2020 19:02:47,HP,0,3,0,"HP has 4 Migrated cases which are reduced from Active #. Also, death of Tibetan refugee is included in deceased numbers, but not in confirmed"
Assam,43,33,1,9,01/05/2020 17:51:47,AS,0,0,0,Includes one case from Nagaland
Chhattisgarh,43,36,0,7,01/05/2020 20:12:48,CT,0,0,0,
Andaman and Nicobar Islands,33,26,0,7,02/05/2020 21:52:47,AN,0,10,0,
Ladakh,23,17,0,6,02/05/2020 17:52:47,LA,1,0,0,
Meghalaya,12,10,1,1,01/05/2020 16:02:47,ML,0,0,0,
Puducherry,8,5,0,3,27/04/2020 23:21:56,PY,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,4,2,0,2,02/05/2020 15:33:48,TR,2,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
